radius_mm,flow_rate_ml_s
1.0,0.2991245005167996
1.0404040404040404,0.35047747139664615
1.0808080808080809,0.4081749223283407
1.121212121212121,0.4727190706742402
1.1616161616161615,0.5446312658866973
1.202020202020202,0.6244519895080592
1.2424242424242424,0.7127408551706665
1.2828282828282829,0.810076608596856
1.3232323232323233,0.9170571275989574
1.3636363636363638,1.0342994220792967
1.404040404040404,1.1624396340301928
1.4444444444444444,1.3021330375339601
1.4848484848484849,1.4540540387629084
1.5252525252525253,1.6188961759793399
1.5656565656565657,1.7973721195355539
1.606060606060606,1.99021367187384
1.6464646464646466,2.198171767526491
1.6868686868686869,2.4220164731157827
1.7272727272727273,2.662536987353995
1.7676767676767677,2.9205416410433975
1.8080808080808082,3.1968578970762564
1.8484848484848486,3.492332350434832
1.8888888888888888,3.807830728191375
1.9292929292929295,4.144237889508143
1.9696969696969697,4.502457825637372
2.0101010101010104,4.883413659921306
2.0505050505050506,5.288047647792167
2.090909090909091,5.717321176772194
2.1313131313131315,6.17221476647361
2.1717171717171717,6.653728068598625
2.212121212121212,7.16287986693945
2.2525252525252526,7.700708077378294
2.2929292929292933,8.268269747887363
2.3333333333333335,8.86664105852884
2.3737373737373737,9.49691732145492
2.4141414141414144,10.160212980907788
2.4545454545454546,10.857661613219621
2.494949494949495,11.590415926812595
2.5353535353535355,12.359647762198884
2.575757575757576,13.166548091980644
2.6161616161616164,14.01232702085001
2.6565656565656566,14.898213785589167
2.6969696969696972,15.825456755070258
2.7373737373737375,16.7953234302554
2.7777777777777777,17.80910044419675
2.8181818181818183,18.868093562036425
2.858585858585859,19.973627681006565
2.8989898989898992,21.127046830429276
2.9393939393939394,22.32971417171667
2.97979797979798,23.583011998370857
3.0202020202020203,24.88834173598395
3.060606060606061,26.247123942238048
3.101010101010101,27.66079830690522
3.1414141414141414,29.13082365184757
3.181818181818182,30.658677931017174
3.2222222222222223,32.24585823045611
3.262626262626263,33.89388076829647
3.303030303030303,35.60428089476027
3.3434343434343434,37.378613092159604
3.383838383838384,39.21845097489651
3.4242424242424243,41.12538728946305
3.464646464646465,43.101033914441274
3.505050505050505,45.14702186050321
3.545454545454546,47.26500127041087
3.585858585858586,49.45664141901631
3.6262626262626263,51.72363071326152
3.666666666666667,54.06767669217858
3.707070707070707,56.49050602688942
3.747474747474748,58.99386452060609
3.787878787878788,61.579517108630576
3.8282828282828287,64.24924785835492
3.868686868686869,67.00485996926103
3.909090909090909,69.8481757729209
3.94949494949495,72.78103673299661
3.98989898989899,75.80530344524003
4.030303030303031,78.92285563749314
4.070707070707071,82.13559216968792
4.111111111111111,85.44543103384625
4.151515151515152,88.8543093540804
4.191919191919192,92.36418338659182
4.232323232323233,95.97702851967279
4.272727272727273,99.69483927370521
4.313131313131313,103.51962930116083
4.353535353535354,107.45343138660186
4.3939393939393945,111.49829744667997
4.434343434343434,115.65629853013706
4.474747474747475,119.92952481780534
4.515151515151516,124.3200856226064
4.555555555555555,128.83010938955223
4.595959595959597,133.46174369574487
4.636363636363637,138.2171552503759
4.6767676767676765,143.09852989472742
4.717171717171718,148.10807260217138
4.757575757575758,153.24800747816943
4.7979797979797985,158.52057776027354
4.838383838383839,163.92804581812555
4.878787878787879,169.47269315345733
4.91919191919192,175.15682040009077
4.95959595959596,180.98274732393773
5.0,186.95281282299973
